,id,group,Sum_Class_0,Froh_Class_0,Sum_Class_2,Froh_Class_2,Sum_Class_4,Froh_Class_4,Sum_Class_8,Froh_Class_8,Sum_Class_16,Froh_Class_16
1,1,BO,574711679,0.239187804,450255921,0.187390876,312422874,0.130026488,166443839,0.069271842,34467969,0.014345137
2,1285,KI,183161436,0.076229496,138169690,0.057504495,111561129,0.046430345,56022058,0.023315679,NA,NA
3,1287K,KI,115859174,0.048219137,86847649,0.036144904,71210078,0.029636743,51387907,0.021387003,NA,NA
4,1289K,KI,109262824,0.045473819,80768528,0.03361485,69850334,0.029070834,51702463,0.021517918,32118725,0.013367411
5,1290K,KI,133553551,0.055583316,105930641,0.044087006,77495039,0.032252465,39272999,0.01634493,NA,NA
6,1306K,KI,303007542,0.126107945,271740681,0.113095069,259316248,0.107924175,212647060,0.088501044,126237384,0.052538418
7,13238,KI,132916848,0.055318328,97328551,0.040506924,68555351,0.028531879,42469017,0.017675073,NA,NA
8,13239,BO,616870663,0.256733845,515129950,0.214390635,385991129,0.160644674,211045065,0.087834313,44759208,0.018628222
9,13240,KI,103496855,0.043074095,65089261,0.027089335,42744790,0.017789846,10155515,0.004226598,NA,NA
10,13242,BO,615479224,0.256154746,504968438,0.21016154,363427207,0.151253853,193218013,0.080414917,24438728,0.010171093
11,13243,BO,631359357,0.262763858,519943662,0.216394041,405197709,0.168638212,230333961,0.09586211,77857983,0.032403518
12,13244,BO,560126904,0.233117803,434284952,0.180743959,296761857,0.123508569,149776779,0.06233522,57659239,0.023997053
13,13245,KI,152694084,0.063549366,130694639,0.054393472,117674236,0.048974543,102392324,0.042614403,63608149,0.026472915
14,13247,KI,69873843,0.029080618,39478231,0.016430345,18640311,0.007757864,8674821,0.003610352,NA,NA
15,13267,MY,682526929,0.284059161,606743583,0.252519081,514471401,0.214116555,396317656,0.164942446,246449343,0.10256913
16,13269,MY,607317482,0.252757931,528961931,0.220147332,412505314,0.171679546,284094889,0.118236735,139845718,0.058202037
17,13270,MY,589601246,0.245384655,510848346,0.212608685,397369556,0.165380233,264506542,0.110084311,94554511,0.039352403
18,13271,MY,623520391,0.259501379,553976110,0.23055792,440386529,0.183283359,302051806,0.125710179,132804533,0.055271584
19,1368,KI,819826186,0.341201392,733802632,0.305399466,661960627,0.275499724,493409118,0.205350696,266052005,0.110727513
20,192K,KI,102722923,0.042751994,69771528,0.029038036,41256660,0.017170505,30113920,0.012533036,18913327,0.00787149
21,2226,SP,56782633,0.023632221,21036690,0.008755207,12021554,0.00500322,NA,NA,NA,NA
22,2231,MY,291454486,0.121299707,215629202,0.089742174,156256556,0.065032022,93290788,0.038826458,40935915,0.017037015
23,2232,MY,365188236,0.151986771,280756730,0.116847435,183034638,0.076176724,81870227,0.034073363,35569106,0.014803417
24,2282,SP,137344454,0.057161042,114711375,0.047741438,91634603,0.038137174,47367774,0.019713874,NA,NA
25,2309,SP,215486201,0.089682658,166788218,0.069415168,148287521,0.061715409,92170316,0.038360131,38887534,0.016184505
26,2310,SP,344846519,0.143520803,304117389,0.126569849,262283490,0.109159104,204916661,0.085283748,129211869,0.053776362
27,2313,SP,113185523,0.047106397,87411580,0.036379605,74282589,0.030915483,32952710,0.013714505,19857525,0.008264453
28,289,KI,165908233,0.069048929,138280983,0.057550814,118966074,0.04951219,70413050,0.02930503,18233215,0.007588436
29,2925,BO,624467634,0.259895609,518305640,0.215712317,375184568,0.156147119,242204609,0.100802525,112107465,0.046657723
30,2927,BO,423176300,0.176120677,339742907,0.141396743,235246130,0.097906493,89937160,0.03743072,66116419,0.027516826
31,2939,BO,414672352,0.17258144,280687416,0.116818588,143484274,0.059716358,22862875,0.009515242,NA,NA
32,2940,BO,531659636,0.221270083,420322678,0.174933035,275217963,0.11454227,124809102,0.051943985,17043142,0.007093142
33,2966,BO,564752854,0.235043066,442539747,0.184179501,318246666,0.132450277,190951986,0.079471825,71323126,0.029683792
34,3002,BO,589249259,0.245238163,488098251,0.20314038,342459291,0.142527269,219370269,0.091299159,27134474,0.011293028
35,3004,BO,609743655,0.253767674,479761901,0.199670895,366865378,0.152684776,205429433,0.085497158,16044557,0.006677544
36,3295,BO,519642633,0.216268757,402534152,0.167529673,305792532,0.127267023,172331914,0.071722385,35245308,0.014668656
37,3296,BO,527356105,0.219479007,404954284,0.168536902,270544391,0.112597188,142277857,0.059214262,56975470,0.023712477
38,3297,SP,148294684,0.06171839,109014761,0.045370578,78676317,0.032744098,65995420,0.027466467,37944835,0.015792165
39,3298,SP,49661682,0.02066857,19902516,0.008283178,4286644,0.001784048,NA,NA,NA,NA
40,3299,SP,64445800,0.026821535,28479381,0.011852762,9129547,0.003799603,NA,NA,NA,NA
41,3302,SP,60540714,0.025196287,31391857,0.013064898,14972341,0.006231301,NA,NA,NA,NA
42,3305,SP,69398751,0.028882891,42815445,0.017819252,24751395,0.010301221,NA,NA,NA,NA
43,333,SP,193145639,0.080384796,162610892,0.067676617,159818308,0.066514378,117571073,0.048931608,93537835,0.038929276
44,339,SP,261425628,0.108802073,240676942,0.100166729,215329106,0.089617277,138803613,0.057768326,99612033,0.041457281
45,3427,BO,481533729,0.200408308,389235115,0.161994781,301300155,0.125397352,188781956,0.078568686,86256402,0.035898834
46,7966,MY,8294345,0.003452003,2592661,0.001079033,NA,NA,NA,NA,NA,NA
47,7974,MY,294790760,0.122688223,206668749,0.086012945,128779163,0.053596275,39690827,0.016518825,16821194,0.00700077
48,7976,MY,227973602,0.094879758,136906956,0.056978961,69160912,0.028783906,24942556,0.010380779,16771951,0.006980276
49,7983,MY,862565703,0.358989044,775946234,0.322939106,702597252,0.292412178,548110219,0.228116609,394629345,0.164239792
50,7984,MY,411384878,0.171213235,302630205,0.125950902,192258102,0.080015415,92680961,0.038572655,NA,NA
51,7986,MY,416229609,0.173229551,327522940,0.136310946,228608598,0.095144036,77035391,0.032061165,32596535,0.01356627
52,7990,MY,235472555,0.098000729,123637572,0.051456409,56046241,0.023325744,18904563,0.007867842,NA,NA
53,7997,BO,671684298,0.279546594,535508672,0.222872003,372032588,0.154835304,211667174,0.088093227,63253877,0.026325472
54,8010,BO,505199990,0.21025791,391312466,0.162859348,255523682,0.106345757,111801968,0.046530579,NA,NA
55,8011,BO,524611450,0.218336716,414552253,0.172531457,272555225,0.113434072,110198348,0.045863172,NA,NA
56,8014,BO,617224463,0.256881092,505398079,0.210340352,319769925,0.133084238,121637838,0.050624145,36885336,0.015351215
57,8016,BO,425345276,0.177023378,323953768,0.134825502,225296566,0.09376561,81632145,0.033974277,NA,NA
58,8017,BO,508804061,0.211757879,394111053,0.164024085,238051583,0.099074088,76425356,0.031807276,19410217,0.008078289
59,8022,SP,42091785,0.017518074,11774580,0.004900433,6255883,0.00260362,NA,NA,NA,NA
60,8024,SP,57345160,0.023866337,27826899,0.011581207,9362592,0.003896594,NA,NA,NA,NA
61,8036,SP,225960698,0.094042013,188882931,0.078610711,174324997,0.072551881,138848171,0.05778687,85534188,0.035598258
62,8040,SP,64123425,0.026687367,24530555,0.01020931,8918224,0.003711653,8918224,0.003711653,NA,NA
63,8044,SP,164185804,0.068332076,121352010,0.050505187,110593701,0.046027713,85817866,0.035716321,17039234,0.007091516
64,8050,SP,648767557,0.270008933,631113023,0.262661337,601992727,0.250541835,557267864,0.231927907,467619390,0.194617334
65,8052,SP,57819656,0.024063817,30184455,0.012562392,18137428,0.00754857,11525903,0.004796936,NA,NA
66,8054,SP,60803503,0.025305657,14551881,0.006056311,NA,NA,NA,NA,NA,NA
67,M3,MY,699277931,0.291030718,638048987,0.265547998,542845533,0.225925513,392877403,0.163510655,200720389,0.083537312
68,MD1,BO,752689315,0.313259867,640001217,0.266360492,505653441,0.21044663,359432609,0.149591351,198995527,0.082819446
69,MD10,BO,352753359,0.146811531,281075710,0.116980191,215233294,0.089577402,110353457,0.045927727,17712094,0.007371552
70,MD11,BO,396096746,0.164850506,336884675,0.140207183,280657621,0.116806187,198402598,0.082572677,130897638,0.054477958
71,MD12,BO,471011432,0.19602906,339139136,0.141145462,206990243,0.086146747,82685246,0.034412564,NA,NA
72,MD13,BO,641913632,0.267156415,524156934,0.218147552,402783127,0.167633294,238226707,0.099146972,70444213,0.029317999
73,MD2,BO,599440460,0.249479613,465283071,0.193644988,356111769,0.148209259,238658675,0.099326752,18318035,0.007623737
74,MD3,BO,900370363,0.37472287,830441813,0.345619483,719051141,0.299260081,616118030,0.256420609,478407584,0.199107246
75,MD4,BO,616455668,0.25656113,496993749,0.206842575,376966015,0.156888535,236054436,0.0982429,109644122,0.045632511
76,MD5,BO,516924579,0.215137537,398666807,0.165920133,256098395,0.106584945,123639505,0.051457214,21876781,0.009104842
77,MD6,BO,649976986,0.270512282,518256494,0.215691863,376361560,0.156636968,191028264,0.079503571,46071132,0.019174228
78,MD7,BO,652309110,0.271482883,529188483,0.22024162,366308044,0.152452821,249350140,0.103776406,106733763,0.044421256
79,MD8,BO,487411935,0.202854744,370061511,0.154014967,234518616,0.097603711,83449480,0.034730629,NA,NA
80,MD9,BO,568361465,0.236544924,449137917,0.186925577,303502175,0.126313805,120282944,0.050060255,36835291,0.015330387